attribute,group_set,model_a,model_b,metric,quantity,diff,diff_lo,diff_hi,significant
Victim Race,named_n>=5000,graphsage_fairloss_a100_mb,graphsage_fairloss_a25_sstate20_mb,selection_rate,amplification,-0.6434832278267122,-0.6940234686121276,-0.5963563909527442,True
Victim Race,named_n>=5000,graphsage_fairloss_a100_mb,graphsage_fairloss_a25_sstate20_mb,tpr,gap,-0.03295809605698996,-0.04242904018398895,-0.023276432582877857,True
Victim Race,named_n>=5000,graphsage_fairloss_a100_mb,graphsage_fairloss_a25_sstate20_mb,tpr,amplification,-0.431810314508076,-0.5601015070559499,-0.3051252616845382,True
Victim Race,named_n>=5000,graphsage_fairloss_a100_mb,graphsage_fairloss_a25_sstate20_mb,fpr,gap,-0.056311911731528164,-0.061194114637946856,-0.05113181030623072,True
Victim Race,named_n>=5000,graphsage_fairloss_a100_mb,graphsage_fairloss_a25_sstate20_mb,fpr,amplification,-0.7377872882370305,-0.8220545972846087,-0.6551707858201069,True
Victim Race,named_all,graphsage_fairloss_a100_mb,graphsage_fairloss_a50_sstate20_mb,selection_rate,gap,-0.03173887013996518,-0.052085234377640344,-0.011788599045011918,True
Victim Race,named_all,graphsage_fairloss_a100_mb,graphsage_fairloss_a50_sstate20_mb,selection_rate,amplification,-0.23586662685286708,-0.41509058252614717,-0.08545829431952205,True
Victim Race,named_all,graphsage_fairloss_a100_mb,graphsage_fairloss_a50_sstate20_mb,tpr,gap,-0.026866275277234286,-0.050431031539798506,-0.005160004459522714,True
Victim Race,named_all,graphsage_fairloss_a100_mb,graphsage_fairloss_a50_sstate20_mb,tpr,amplification,-0.19965605888920845,-0.39340031604774034,-0.03859398524234956,True
Victim Race,named_all,graphsage_fairloss_a100_mb,graphsage_fairloss_a50_sstate20_mb,fpr,gap,-0.08454629218413362,-0.13362959277728248,-0.03407341456873868,True
Victim Race,named_all,graphsage_fairloss_a100_mb,graphsage_fairloss_a50_sstate20_mb,fpr,amplification,-0.6283036750346778,-1.033812699803076,-0.24353411049581797,True
Victim Race,named_n>=5000,graphsage_fairloss_a100_mb,graphsage_fairloss_a50_sstate20_mb,selection_rate,gap,-0.03703415256584497,-0.04001396914389016,-0.034189468348381054,True
Victim Race,named_n>=5000,graphsage_fairloss_a100_mb,graphsage_fairloss_a50_sstate20_mb,selection_rate,amplification,-0.485213983215088,-0.5321345016206598,-0.4393894951050679,True
Victim Race,named_n>=5000,graphsage_fairloss_a100_mb,graphsage_fairloss_a50_sstate20_mb,tpr,gap,-0.021537146894051618,-0.030741875768013,-0.011832204978642728,True
Victim Race,named_n>=5000,graphsage_fairloss_a100_mb,graphsage_fairloss_a50_sstate20_mb,tpr,amplification,-0.28217534647164993,-0.40517774473746476,-0.15520605696031223,True
Victim Race,named_n>=5000,graphsage_fairloss_a100_mb,graphsage_fairloss_a50_sstate20_mb,fpr,gap,-0.04347575595496184,-0.04860356660456496,-0.03819138845100795,True
Victim Race,named_n>=5000,graphsage_fairloss_a100_mb,graphsage_fairloss_a50_sstate20_mb,fpr,amplification,-0.5696105691277296,-0.646654550681879,-0.4938614671968331,True
Victim Race,named_all,graphsage_fairloss_a100_mb,graphsage_fairloss_a100_sstate20_mb,selection_rate,gap,-0.03491500219676241,-0.05599355817557683,-0.012275634526344135,True
Victim Race,named_all,graphsage_fairloss_a100_mb,graphsage_fairloss_a100_sstate20_mb,selection_rate,amplification,-0.25946997351808787,-0.4343762543092956,-0.0875295214136508,True
Victim Race,named_all,graphsage_fairloss_a100_mb,graphsage_fairloss_a100_sstate20_mb,tpr,gap,-0.03348119156338336,-0.05771673832457796,-0.008333359604285578,True
Victim Race,named_all,graphsage_fairloss_a100_mb,graphsage_fairloss_a100_sstate20_mb,tpr,amplification,-0.2488146453306157,-0.4346826441581292,-0.06019823229764115,True
Victim Race,named_all,graphsage_fairloss_a100_mb,graphsage_fairloss_a100_sstate20_mb,fpr,gap,-0.09220587854783346,-0.14315360184663714,-0.03730962675992123,True
Victim Race,named_all,graphsage_fairloss_a100_mb,graphsage_fairloss_a100_sstate20_mb,fpr,amplification,-0.6852257012670862,-1.1439229826054842,-0.28087393437626496,True
Victim Race,named_n>=5000,graphsage_fairloss_a100_mb,graphsage_fairloss_a100_sstate20_mb,selection_rate,gap,-0.03142643087992769,-0.034204616207058565,-0.02842217103305905,True
Victim Race,named_n>=5000,graphsage_fairloss_a100_mb,graphsage_fairloss_a100_sstate20_mb,selection_rate,amplification,-0.4117427468705318,-0.45805906583350636,-0.36688443336007215,True
Victim Race,named_n>=5000,graphsage_fairloss_a100_mb,graphsage_fairloss_a100_sstate20_mb,tpr,gap,-0.016700706922890163,-0.02642804285407807,-0.007633609218858657,True
Victim Race,named_n>=5000,graphsage_fairloss_a100_mb,graphsage_fairloss_a100_sstate20_mb,tpr,amplification,-0.2188092872965256,-0.3484183680468477,-0.10078614768899506,True
Victim Race,named_n>=5000,graphsage_fairloss_a100_mb,graphsage_fairloss_a100_sstate20_mb,fpr,gap,-0.03804495539185365,-0.04364619934328935,-0.03223375207110104,True
Victim Race,named_n>=5000,graphsage_fairloss_a100_mb,graphsage_fairloss_a100_sstate20_mb,fpr,amplification,-0.4984573175827568,-0.5733512645350908,-0.4195853936199345,True
Victim Race,named_all,graphsage_fairloss_a100_mb,graphsage_fairloss_a50_sstate50_mb,selection_rate,gap,-0.03281528367202097,-0.054929733781376215,-0.013695080942242052,True
Victim Race,named_all,graphsage_fairloss_a100_mb,graphsage_fairloss_a50_sstate50_mb,selection_rate,amplification,-0.24386596733931643,-0.42624271492197907,-0.1005015243701701,True
Victim Race,named_all,graphsage_fairloss_a100_mb,graphsage_fairloss_a50_sstate50_mb,tpr,gap,-0.0313450750163079,-0.05490628679729333,-0.008881278978544495,True
Victim Race,named_all,graphsage_fairloss_a100_mb,graphsage_fairloss_a50_sstate50_mb,tpr,amplification,-0.23294014815093012,-0.42061480339416385,-0.06995831492367616,True
