model,attribute,point,q,threshold,group,n_unsolved,n_selected,share_pop,share_sel,lift,lo,hi,significant
graphsage_fairloss_a0_mb,Victim Race,threshold_0.5,0.378245,0.5,Black,30230,9469,0.5499663434424291,0.455437448896157,0.8281187645873325,0.8183718319409358,0.8376063655308582,True
graphsage_fairloss_a0_mb,Victim Race,threshold_0.5,0.378245,0.5,White,24737,11322,0.4500336565575709,0.544562551103843,1.2100485000818588,1.198454120144001,1.2219597978908319,True
graphsage_fairloss_a0_mb,Victim Race,top_0.005,0.005,0.88217,Black,30230,85,0.5499663434424291,0.3090909090909091,0.5620178630499505,0.4610297106342218,0.661212678898056,True
graphsage_fairloss_a0_mb,Victim Race,top_0.005,0.005,0.88217,White,24737,190,0.4500336565575709,0.6909090909090909,1.535238711242269,1.4140170884469325,1.6586518918028645,True
graphsage_fairloss_a0_mb,Victim Race,top_0.01,0.01,0.848548,Black,30230,165,0.5499663434424291,0.3,0.5454879259014225,0.47571474346494935,0.6148245705340472,True
graphsage_fairloss_a0_mb,Victim Race,top_0.01,0.01,0.848548,White,24737,385,0.4500336565575709,0.7,1.5554392206007197,1.470705955967003,1.640705958889703,True
graphsage_fairloss_a0_mb,Victim Race,top_0.025,0.025,0.799081,Black,30230,445,0.5499663434424291,0.3236363636363636,0.5884657624875951,0.5448281775387911,0.6325096196929202,True
graphsage_fairloss_a0_mb,Victim Race,top_0.025,0.025,0.799081,White,24737,930,0.4500336565575709,0.6763636363636364,1.502917896268747,1.4490938350116436,1.5562454700651793,True
graphsage_fairloss_a0_mb,Victim Race,top_0.05,0.05,0.750929,Black,30230,919,0.5499663434424291,0.33430338304838125,0.6078615301363007,0.5767628782818838,0.6404171353170787,True
graphsage_fairloss_a0_mb,Victim Race,top_0.05,0.05,0.750929,White,24737,1830,0.4500336565575709,0.6656966169516187,1.479215181468231,1.439430407865332,1.5172194764740532,True
graphsage_fairloss_a0_mb,Victim Race,top_0.1,0.1,0.687737,Black,30230,1965,0.5499663434424291,0.35746770965981445,0.6499810650635468,0.6288608401818735,0.6722138787094916,True
graphsage_fairloss_a0_mb,Victim Race,top_0.1,0.1,0.687737,White,24737,3532,0.4500336565575709,0.6425322903401856,1.4277427498536193,1.4005730058864079,1.4535528480131772,True
graphsage_fairloss_a0_mb,Victim Sex,threshold_0.5,0.378634,0.5,Female,10053,4786,0.17669701550251343,0.2221706433942995,1.2573536840023154,1.235418435763715,1.2814876082835531,True
graphsage_fairloss_a0_mb,Victim Sex,threshold_0.5,0.378634,0.5,Male,46841,16756,0.8233029844974865,0.7778293566057005,0.9447668370599416,0.9395872221755607,0.949474572815853,True
graphsage_fairloss_a0_mb,Victim Sex,top_0.005,0.005,0.881843,Female,10053,93,0.17669701550251343,0.3263157894736842,1.8467532603517147,1.549092111968246,2.143787994163847,True
graphsage_fairloss_a0_mb,Victim Sex,top_0.005,0.005,0.881843,Male,46841,192,0.8233029844974865,0.6736842105263158,0.8182700940134543,0.7545205972261663,0.8821540316898279,True
graphsage_fairloss_a0_mb,Victim Sex,top_0.01,0.01,0.849305,Female,10053,191,0.17669701550251343,0.335676625659051,1.8997300248926736,1.6878845862700687,2.118629987000514,True
graphsage_fairloss_a0_mb,Victim Sex,top_0.01,0.01,0.849305,Male,46841,378,0.8233029844974865,0.664323374340949,0.80690023824756,0.7599200004415754,0.8523664365454837,True
graphsage_fairloss_a0_mb,Victim Sex,top_0.025,0.025,0.799712,Female,10053,441,0.17669701550251343,0.30990864371047083,1.7538985750784368,1.6204163434291354,1.8838736506991975,True
graphsage_fairloss_a0_mb,Victim Sex,top_0.025,0.025,0.799712,Male,46841,982,0.8233029844974865,0.6900913562895291,0.8381985359991561,0.8103033280570646,0.8668464486135418,True
graphsage_fairloss_a0_mb,Victim Sex,top_0.05,0.05,0.751141,Female,10053,842,0.17669701550251343,0.2959578207381371,1.6749452156645352,1.5808176165052301,1.7635031084035488,True
graphsage_fairloss_a0_mb,Victim Sex,top_0.05,0.05,0.751141,Male,46841,2003,0.8233029844974865,0.704042179261863,0.8551434800052183,0.8361372142187212,0.8753451143500977,True
graphsage_fairloss_a0_mb,Victim Sex,top_0.1,0.1,0.687996,Female,10053,1537,0.17669701550251343,0.27012302284710016,1.528735627361277,1.4645808101233606,1.5912745869049754,True
graphsage_fairloss_a0_mb,Victim Sex,top_0.1,0.1,0.687996,Male,46841,4153,0.8233029844974865,0.7298769771528998,0.8865229337148456,0.8731008428053262,0.9002918194707596,True
graphsage_fairloss_a100_mb,Victim Race,threshold_0.5,0.354158,0.5,Black,30230,10435,0.5499663434424291,0.5360353418605845,0.9746693561379675,0.9647051749807374,0.9853408834248232,True
graphsage_fairloss_a100_mb,Victim Race,threshold_0.5,0.354158,0.5,White,24737,9032,0.4500336565575709,0.4639646581394154,1.030955466060931,1.017914261796806,1.0431322537224526,True
graphsage_fairloss_a100_mb,Victim Race,top_0.005,0.005,0.85533,Black,30230,142,0.5499663434424291,0.5163636363636364,0.9389004300363878,0.8322129523896132,1.0436006816988637,False
graphsage_fairloss_a100_mb,Victim Race,top_0.005,0.005,0.85533,White,24737,133,0.4500336565575709,0.48363636363636364,1.0746670978695883,0.9467175240426629,1.2050451731924645,False
graphsage_fairloss_a100_mb,Victim Race,top_0.01,0.01,0.822077,Black,30230,280,0.5499663434424291,0.509090909090909,0.9256764803175653,0.8493819234207498,1.0000741360041077,False
graphsage_fairloss_a100_mb,Victim Race,top_0.01,0.01,0.822077,White,24737,270,0.4500336565575709,0.4909090909090909,1.090827505356349,0.9999094016491825,1.184063728624762,False
graphsage_fairloss_a100_mb,Victim Race,top_0.025,0.025,0.762698,Black,30230,686,0.5499663434424291,0.4989090909090909,0.9071629507112141,0.8570940783362252,0.9545759094779751,True
