edge_type,k,edge_mode,attribute,n_edges_directed,homophily,homophily_null,assortativity,neighbor_recovery,majority_baseline,recovery_lift,node_coverage
geo,20,shuffle,Victim Race,25039824,0.5909363420445767,0.4682246487590618,0.23075852049019915,0.6859406771960936,0.49717285818555446,0.18876781901053918,0.9998183111077698
geo,20,shuffle,Victim Sex,25039824,0.6611812447244038,0.6493940274217017,0.03361955649534662,0.7713405750558482,0.7739398609766718,-0.0025992859208235908,0.9998183111077698
temporal,20,shuffle,Victim Race,25538160,0.47000394703455534,0.4682246487590618,0.003345958535576027,0.49228292093087367,0.49717285818555446,-0.004889937254680787,1.0
temporal,20,shuffle,Victim Sex,25538160,0.6498104796900012,0.6493940274217017,0.0011878071136008574,0.7738615467989863,0.7739398609766718,-7.831417768544569e-05,1.0
weapon,20,shuffle,Victim Race,25522842,1.0,0.4682246487590618,1.0,1.0,0.49717285818555446,0.5028271418144455,0.9999827708809091
weapon,20,shuffle,Victim Sex,25522842,1.0,0.6493940274217017,1.0,1.0,0.7739398609766718,0.22606013902332822,0.9999827708809091
