block_key,min_n,State,City,n,n_unsolved,expected_unsolved,smr,z,p_value,n_priority,white_share,black_share,q_value,flag
county,20,Louisiana,Orleans,7847,3912,2798.565847375031,1.3978588367571685,26.599244944820786,0.00019998000199980003,38,0.1167325092391997,0.8649165286096597,0.0024037596240375964,cold
county,20,Georgia,Fulton,6387,2884,1936.4698377507946,1.48930798909306,26.428859725866122,0.00019998000199980003,215,0.14983560356975106,0.8399874745576953,0.0024037596240375964,cold
county,20,Missouri,St. Louis city,5955,3264,2308.452807042771,1.4139340384356078,26.308309788379002,0.00019998000199980003,41,0.1346767422334173,0.8597816960537363,0.0024037596240375964,cold
county,20,Michigan,Wayne,19038,7070,5630.479111384572,1.2556657897379961,23.57761182362796,0.00019998000199980003,500,0.15831494904926988,0.830024162201912,0.0024037596240375964,cold
county,20,Virginia,Richmond,2892,1299,764.2989330122996,1.6995967727971375,22.93504167985856,0.00019998000199980003,131,0.13865836791147995,0.8437067773167358,0.0024037596240375964,cold
county,20,District of Columbia,District of Columbia,7115,4674,3894.0032663088205,1.2003071595855515,18.967811820442897,0.00019998000199980003,9,0.07069571328179902,0.9173576950105411,0.0024037596240375964,cold
county,20,Maryland,Baltimore city,9336,4381,3587.022694922014,1.2213471652136418,17.21095765668597,0.00019998000199980003,35,0.09715081405312767,0.8947086546700943,0.0024037596240375964,cold
county,20,New Jersey,Essex,4812,2314,1760.6847001474925,1.314261434660139,16.998286406079536,0.00019998000199980003,71,0.1872402327514547,0.8023690773067331,0.0024037596240375964,cold
county,20,Texas,Dallas,11148,4292,3529.546690633986,1.2160201794154648,16.094341246525605,0.00019998000199980003,163,0.5026910656620022,0.4839433082167205,0.0024037596240375964,cold
county,20,Indiana,Lake,3094,1494,1096.5141843722297,1.3624994745100691,15.259110985856674,0.00019998000199980003,20,0.2323852617970265,0.7485455720749838,0.0024037596240375964,cold
county,20,Illinois,Cook,22338,9102,8081.432105878019,1.126285524737586,14.870031463382608,0.00019998000199980003,362,0.2708836959441311,0.7213268869191513,0.0024037596240375964,cold
county,20,Pennsylvania,Allegheny,2542,959,650.6040095684041,1.4740148936926762,14.370771799491814,0.00019998000199980003,93,0.2769472856018883,0.7179386309992132,0.0024037596240375964,cold
county,20,Massachusetts,Suffolk,2673,1505,1152.5105161471067,1.3058449176075904,14.186710490118324,0.00019998000199980003,7,0.3337074448185559,0.6341189674523008,0.0024037596240375964,cold
county,20,Maryland,Prince George's,3642,1741,1366.2669747863401,1.2742751103035785,13.12223120229715,0.00019998000199980003,21,0.18094453596924767,0.799835255354201,0.0024037596240375964,cold
county,20,Michigan,Genesee,1875,750,524.6009518150905,1.4296580999425204,11.960406702942745,0.00019998000199980003,83,0.25066666666666665,0.7386666666666667,0.0024037596240375964,cold
county,20,Mississippi,Hinds,1987,497,310.6759019379025,1.5997378518895866,11.7310430825875,0.00019998000199980003,287,0.14141922496225465,0.8470055359838953,0.0024037596240375964,cold
county,20,Pennsylvania,Delaware,999,421,272.5948383504544,1.544416624128269,10.859014591939568,0.00019998000199980003,51,0.32232232232232233,0.6586586586586587,0.0024037596240375964,cold
