block_key,min_n,State,City,n,n_unsolved,expected_unsolved,smr,z,p_value,n_priority,white_share,black_share,q_value,flag
county,20,Georgia,Fulton,1884,850,548.6874954008188,1.5491513969697288,15.657319046283991,0.00019998000199980003,98,0.14861995753715498,0.8402335456475584,0.0037083248196919444,cold
county,20,Maryland,Baltimore city,2807,1364,1013.6376984245653,1.3456484522230983,14.000650689258487,0.00019998000199980003,21,0.09583184894905593,0.8945493409333808,0.0037083248196919444,cold
county,20,Missouri,St. Louis city,1828,991,721.3632151941994,1.3737878216221648,13.379800612525509,0.00019998000199980003,11,0.1422319474835886,0.8528446389496718,0.0037083248196919444,cold
county,20,Louisiana,Orleans,2337,1147,854.0456147613647,1.3430196000953554,12.790712244880591,0.00019998000199980003,16,0.10997004706889174,0.8707744972186564,0.0037083248196919444,cold
county,20,Virginia,Richmond,876,378,237.8904287168126,1.588966828295456,10.81137331401258,0.00019998000199980003,33,0.13013698630136986,0.8515981735159818,0.0037083248196919444,cold
county,20,District of Columbia,District of Columbia,2112,1396,1168.1620823284102,1.1950396448560097,10.193902598603291,0.00019998000199980003,5,0.07102272727272728,0.9166666666666666,0.0037083248196919444,cold
county,20,Michigan,Wayne,5724,2118,1773.2221245610685,1.1944358073720038,10.191698355755491,0.00019998000199980003,124,0.15496156533892383,0.83298392732355,0.0037083248196919444,cold
county,20,Illinois,Cook,6719,2777,2397.379946229854,1.1583478890641181,10.109505926960596,0.00019998000199980003,114,0.27251079029617503,0.7200476261348415,0.0037083248196919444,cold
county,20,Massachusetts,Suffolk,815,452,335.4741767685904,1.3473466254655688,8.567136114512524,0.00019998000199980003,5,0.31901840490797545,0.6503067484662577,0.0037083248196919444,cold
county,20,New Jersey,Essex,1435,683,537.5741043531667,1.2705225093046777,8.147933718685138,0.00019998000199980003,9,0.20209059233449478,0.7888501742160279,0.0037083248196919444,cold
county,20,Texas,Dallas,3358,1290,1093.139374122104,1.180087398311852,7.5450264005344065,0.00019998000199980003,39,0.4994044073853484,0.4857057772483621,0.0037083248196919444,cold
county,20,Tennessee,Davidson,827,192,120.13376234729785,1.5982184878630719,7.195244747253032,0.00019998000199980003,148,0.3893591293833132,0.5876662636033857,0.0037083248196919444,cold
county,20,Pennsylvania,Allegheny,766,294,209.03625566881587,1.4064545839636329,7.09097451368386,0.00019998000199980003,20,0.27284595300261094,0.7219321148825065,0.0037083248196919444,cold
county,20,Mississippi,Hinds,581,149,91.67465326400048,1.625312937600283,6.677263949450296,0.00019998000199980003,72,0.13769363166953527,0.8537005163511188,0.0037083248196919444,cold
county,20,Indiana,Lake,933,435,342.45245243965377,1.2702493350566815,6.420181636603734,0.00019998000199980003,2,0.22936763129689175,0.7502679528403001,0.0037083248196919444,cold
county,20,Ohio,Mahoning,348,159,106.94678728939738,1.4867206769825347,6.177238641026636,0.00019998000199980003,7,0.21839080459770116,0.7672413793103449,0.0037083248196919444,cold
county,20,New York,Erie,518,275,211.09923908528978,1.3027048377417059,5.886601019545116,0.00019998000199980003,4,0.3204633204633205,0.666023166023166,0.0037083248196919444,cold
county,20,Georgia,Richmond,249,68,36.49627985407195,1.8632035997064267,5.725360025601178,0.00019998000199980003,47,0.24096385542168675,0.7469879518072289,0.0037083248196919444,cold
county,20,Maryland,Prince George's,1104,494,405.6999777629244,1.2176485754916033,5.627998106885593,0.00019998000199980003,6,0.20018115942028986,0.7780797101449275,0.0037083248196919444,cold
county,20,New York,New York,11631,5780,5495.179866853799,1.0518309027269879,5.420032997339801,0.00019998000199980003,37,0.4237812741810678,0.5339179778179004,0.0037083248196919444,cold
