attribute,group_set,model_a,model_b,metric,quantity,diff,diff_lo,diff_hi,significant,stratum,n_strata,n_strata_used,min_stratum_n,n_standardized,signed_as,gap_a,gap_b
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,selection_rate,amplification,0.4460535191809535,0.13748787376481786,0.7836386928308468,True,State|City,2813,164,50,134953,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,tpr,gap,-0.012838805749788573,-0.023243516868136627,-0.0015153170889317066,True,State|City,2813,164,50,134953,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,tpr,amplification,-0.45086257364628285,-0.8500135329549933,-0.052717982433397516,True,State|City,2813,164,50,134953,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,fpr,gap,0.021778358947631693,0.004389148388011764,0.0294487726141283,True,State|City,2813,164,50,134953,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,fpr,amplification,0.7647944175090798,0.1557771220913444,1.118817280951494,True,State|City,2813,164,50,134953,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,selection_rate,signed_gap,-0.0249785439427343,-0.028794082631801773,-0.02085821687340226,True,State|City,2813,164,50,134953,Black-White,-0.01884020329891034,0.0061383406438239585
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,tpr,signed_gap,-0.025073594539376298,-0.029780731196680656,-0.019673631307835178,True,State|City,2813,164,50,134953,Black-White,-0.0061173943947938625,0.018956200144582436
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,fpr,signed_gap,-0.025166142333851726,-0.032483872522901185,-0.017737498459789103,True,State|City,2813,164,50,134953,Black-White,-0.02347225064074171,0.0016938916931100167
Victim Sex,named_all,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,selection_rate,gap,0.019066089068139336,0.015331115795703879,0.022622426573353786,True,State|City,2813,334,20,158686,,,
Victim Sex,named_all,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,selection_rate,amplification,0.29559035192276256,0.23368645019431447,0.3570497287679011,True,State|City,2813,334,20,158686,,,
Victim Sex,named_all,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,tpr,gap,0.017044757550102485,0.012145303435501489,0.021680765067427527,True,State|City,2813,334,20,158686,,,
Victim Sex,named_all,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,tpr,amplification,0.26425271930005956,0.18236851539700974,0.3365126770092871,True,State|City,2813,334,20,158686,,,
Victim Sex,named_all,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,fpr,gap,-0.008422449929587017,-0.023898887803634195,0.010285388200475585,False,State|City,2813,334,20,158686,,,
Victim Sex,named_all,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,fpr,amplification,-0.13057711677738604,-0.3719792619018067,0.15456168965344805,False,State|City,2813,334,20,158686,,,
Victim Sex,named_all,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,selection_rate,signed_gap,-0.019066089068139336,-0.02262242657335379,-0.01533111579570388,True,State|City,2813,334,20,158686,Male-Female,-0.03867939538545451,-0.01961330631731517
Victim Sex,named_all,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,tpr,signed_gap,-0.017044757550102485,-0.02168076506742753,-0.012145303435501489,True,State|City,2813,334,20,158686,Male-Female,-0.03315979225399457,-0.016115034703892084
Victim Sex,named_all,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,fpr,signed_gap,-0.022424506034280756,-0.030044405665791835,-0.015576501655869929,True,State|City,2813,334,20,158686,Male-Female,-0.007001028052346869,0.015423477981933886
Victim Sex,named_all,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,selection_rate,gap,0.019067430458785117,0.015148162164086298,0.022877240752773333,True,State|City,2813,242,30,151250,,,
Victim Sex,named_all,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,selection_rate,amplification,0.2849015467358789,0.2265287216931687,0.3490880372910381,True,State|City,2813,242,30,151250,,,
