min_n,measure,n_counties,race_coef,race_coef_controlled,race_attenuation,r2_race,r2_resource,r2_both,partial_r2_resource,corr_z_resource,corr_z_race,attenuation_lo,attenuation_hi
10,officers,924,-0.122767,-0.037063,0.6981,0.001734,0.010025,0.010169,0.008435,0.100126,-0.041636,-4.530654,6.623995
10,employees,924,-0.122767,-0.052656,0.571091,0.001734,0.00598,0.006264,0.00453,0.077334,-0.041636,-3.814325,5.635145
20,officers,650,-0.046378,0.038667,1.833726,0.000301,0.00881,0.008998,0.008696,0.093863,-0.017363,-11.800081,11.266564
20,employees,650,-0.046378,0.017404,1.375265,0.000301,0.003844,0.003881,0.00358,0.062003,-0.017363,-9.183058,8.013025
30,officers,513,-0.092542,-0.03104,0.664586,0.001679,0.006593,0.006758,0.005078,0.081196,-0.040978,-6.116161,7.011149
30,employees,513,-0.092542,-0.059618,0.355767,0.001679,0.002236,0.002824,0.001145,0.047286,-0.040978,-3.850306,5.234119
