arm,n_counties,median_ratio_actual,median_d,corr_ratio_black_share,corr_ratio_lo,corr_ratio_hi,corr_d_black_share,corr_d_lo,corr_d_hi,bound_rho_if_all_error_black,bound_rho_if_all_error_white,bound_rho_observed,bound_n_counties
full_year,3025,1.0285714285714285,-0.09128031206519577,-0.24047451237599698,-0.29395940242938046,-0.19640177009548626,0.01258031444235869,-0.1358401689015925,0.05185439047921065,0.23283979324941054,-0.06578408136029416,0.08187675340738633,924.0
all,3040,1.0360360360360361,-0.095492131234996,-0.21965302173802026,-0.27107865161337286,-0.17512493259699818,0.011566724557565331,-0.1409789304250772,0.05198587979935276,,,,
