State,City,E_Black,E_White,O_Black,O_White,V_Black,V_White,n_Black,n_White,smr_Black,z_Black,smr_White,z_White,rho,rho_var,d_z,n_both,black_share_both,min_race_n
Alabama,Autauga,5.151144135755555,5.427869844424996,5.0,3.0,4.004078904505217,4.118355864402878,31.0,31.0,0.9732542415969812,-0.07553356591535224,0.5904313171267849,-1.196364356261207,0.49979202886590257,0.29068851117314537,1.1208307903458548,62.0,0.5,10
Alabama,Baldwin,7.5907709392763385,18.915984726037127,6.0,21.0,6.0355217809172075,14.524111317600164,55.0,109.0,0.8033845042437177,-0.6475156027514217,1.107335028501963,0.5468347601949848,-0.32087809834399894,0.14533852947341647,-1.1943503629464065,164.0,0.3353658536585366,10
Alabama,Barbour,5.668613906081005,4.421500361441365,9.0,9.0,4.540332679145748,3.3956950378902158,36.0,25.0,1.540054239840643,1.5634396821688923,1.9303056593127477,2.484613520756582,-0.22586072659702097,0.3149931316999014,-0.9211738385876895,61.0,0.5901639344262295,10
Alabama,Butler,5.979036147006799,2.9519291190286245,2.0,3.0,4.940145509422933,2.3955550511191137,42.0,18.0,0.3858598629913426,-1.7902266336058514,1.0139258018672477,0.031058394605833425,-0.966110753471591,0.4131026286987495,-1.8212850282116848,60.0,0.7,10
Alabama,Calhoun,29.59277807823871,31.00237081971024,28.0,26.0,23.556143152120956,23.613882809549146,171.0,156.0,0.9470710854910896,-0.3281732494701247,0.8412065286025907,-1.029419001766688,0.11853694938833054,0.05146722840543909,0.7012457522965633,327.0,0.5229357798165137,10
Alabama,Chambers,9.05584771639449,5.921081474734513,6.0,4.0,7.401191916181097,4.555731825042883,63.0,36.0,0.6802117606843269,-1.1232615039077993,0.7008165240865531,-0.9000501496236675,-0.029841955772504872,0.22019317119188325,-0.22321135428413186,99.0,0.6363636363636364,10
Alabama,Chilton,2.96337704043692,5.987713243812427,3.0,4.0,2.353260053559513,4.12203905598753,18.0,26.0,1.0105743495829318,0.023873630951520272,0.6936188192799392,-0.9790337878413659,0.3763515533064072,0.382947601068945,1.0029074187928861,44.0,0.4090909090909091,10
Alabama,Clarke,5.122602691687681,1.7074878064854255,1.0,1.0,4.363244050342419,1.3162067207439667,42.0,11.0,0.2667803652955176,-1.9736345076930566,0.6795054521221444,-0.6166758018588702,-0.9349395392972812,0.6177246542677834,-1.3569587058341863,53.0,0.7924528301886793,10
Alabama,Coffee,7.030282429505641,5.839733528251435,5.0,7.0,5.668236544388385,4.4628844331262165,45.0,30.0,0.7303842918891784,-0.8527710987988089,1.1830150220948763,0.5492245253004274,-0.48225073932914186,0.24555072070797263,-1.4019956240992362,75.0,0.6,10
Alabama,Colbert,6.368716515482367,6.392920998331991,6.0,8.0,4.650715365174949,5.086465142087479,35.0,37.0,0.9463194448844606,-0.17097503867545585,1.2331491978592102,0.7125727173622877,-0.26474630815208094,0.23911749932441723,-0.8835477560377435,72.0,0.4861111111111111,10
Alabama,Coosa,2.910655382550898,1.5867773577933475,2.0,6.0,2.5518983745318757,1.2460213104212423,28.0,10.0,0.732996952078518,-0.5700623663528708,3.114850741371563,3.9536034102190896,-1.4467949702495713,0.7960912905231874,-4.52366577657196,38.0,0.7368421052631579,10
Alabama,Covington,1.6588671740417378,5.202608073317478,0.0,1.0,1.3494680188995356,4.209293868628329,13.0,35.0,0.23160294714376597,-1.4280069299008316,0.26303754014211583,-2.048397641409369,-0.12727228941091878,0.6459005925610948,0.6203907115085376,48.0,0.2708333333333333,10
Alabama,Crenshaw,3.3169564860578094,2.640183610777815,1.0,0.0,2.5746134548465784,2.008505949058837,23.0,19.0,0.39298325916972005,-1.4439822683613897,0.15922635806514238,-1.8629344315282133,0.9034401879878339,0.522149828271089,0.4189521631668236,42.0,0.5476190476190477,10
Alabama,Dale,5.927013618480391,7.629094056609688,3.0,3.0,4.770720193177361,5.608264285011784,37.0,39.0,0.5445764094751588,-1.3400863091597965,0.4305522824101394,-1.954707455888369,0.23493949986421356,0.23216069050739746,0.6146211467285725,76.0,0.4868421052631579,10
Alabama,Dallas,27.43445261128855,3.251774929840559,19.0,5.0,21.29540258762368,2.714560026839295,148.0,22.0,0.6980627210185563,-1.8277381425884707,1.4659728003016792,1.0610787548233913,-0.7419653716739871,0.2850132127101701,-2.888816897411862,170.0,0.8705882352941177,10
Alabama,Elmore,7.757169824852138,7.897317822830532,10.0,5.0,6.343072135327321,6.489917103803875,60.0,56.0,1.2716221444783018,0.8905259211855526,0.6549710414731074,-1.1373039910999732,0.6634576203759205,0.20947179216846035,2.027829912285526,116.0,0.5172413793103449,10
Alabama,Escambia,5.653242804051063,3.802234321193172,3.0,4.0,4.699923736632373,2.9756135524623337,41.0,27.0,0.5688057681870984,-1.223859573972612,1.0459681328449772,0.1146469908524369,-0.6091591590158758,0.35288563651081195,-1.3385065648250487,68.0,0.6029411764705882,10
Alabama,Etowah,16.83573021430102,28.97939313741081,18.0,33.0,13.704885924403124,21.608122362208913,109.0,138.0,1.0671601237044241,0.3144965709983847,1.1363870295378244,0.8649342490775798,-0.06285292715459152,0.07408159470444681,-0.5504376780791951,247.0,0.44129554655870445,10
Alabama,Geneva,1.8014229084488687,4.122253259861718,0.0,4.0,1.485962566193955,3.306506881137428,16.0,32.0,0.21725689709806267,-1.4777866768705208,0.9735511550344226,-0.06723195389635556,-1.4998698600476366,0.6524870290375451,-1.4105547229741653,48.0,0.3333333333333333,10
Alabama,Greene,4.616439325012413,2.022341695389488,2.0,4.0,3.859451346187787,1.5240412345030154,35.0,10.0,0.48862105874654044,-1.3318272075616173,1.7840564615909944,1.6019645399307934,-1.295057703441042,0.5537354546248746,-2.9337917474924105,45.0,0.7777777777777778,10
Alabama,Henry,2.0552665351771715,2.3453163268637334,3.0,4.0,1.7334715931257794,1.86217247800441,16.0,13.0,1.369720125793971,0.7175479612896294,1.5815464725358503,1.212565004035206,-0.14379671720313594,0.748920060852474,-0.4950170427455767,29.0,0.5517241379310345,10
Alabama,Houston,18.4285404469605,12.524883498487506,20.0,13.0,14.986952615387745,9.63524390067491,123.0,66.0,1.083020640574104,0.4059256925721593,1.0364776008605119,0.15306248435758296,0.043925984240200014,0.10555052799946087,0.25286320821457636,189.0,0.6507936507936508,10
Alabama,Jefferson,549.4996057602086,164.1806820151824,707.0,203.0,418.32415004126756,120.44472555189648,2662.0,743.0,1.286364558429264,7.700610843903463,1.235724782711543,3.5371543206214615,0.04016240155849731,0.005853723425594355,4.163456523282001,3405.0,0.781791483113069,10
Alabama,Lauderdale,6.394636671938591,12.430895010662825,9.0,8.0,5.201684307262517,9.675308795551517,41.0,73.0,1.3778826139838996,1.142342409673201,0.6573404233033285,-1.4244888107033848,0.7401012297622035,0.1898197159117188,2.566831220376586,114.0,0.35964912280701755,10
Alabama,Lawrence,2.341046593457217,3.006224987128334,3.0,4.0,1.7397913820563353,2.620243752136541,15.0,28.0,1.2319403729809706,0.49958123794613496,1.2834316156321692,0.6139276955553223,-0.04094697492301755,0.6073849876320928,-0.11434645760918738,43.0,0.3488372093023256,10
