State,City,shr_actual,shr_cleared,ra_actual,ra_cleared,agency_years,ratio_actual,q_shr,q_ra,d
Connecticut,New Haven,1541,1154,1483.0,1078.0,300,1.0391099123398517,0.7488643737832577,0.7269049224544841,-0.021959451328773527
Connecticut,Fairfield,1552,853,1507.0,1007.0,239,1.0298606502986065,0.5496134020618557,0.66821499668215,0.11860159462029429
Connecticut,Middlesex,60,49,58.0,41.0,40,1.0344827586206897,0.8166666666666667,0.7068965517241379,-0.10977011494252875
Connecticut,Tolland,21,17,18.0,12.0,18,1.1666666666666667,0.8095238095238095,0.6666666666666666,-0.1428571428571429
Connecticut,New London,174,137,145.0,118.0,86,1.2,0.7873563218390804,0.8137931034482758,0.02643678160919538
Connecticut,Windham,20,19,20.0,16.0,16,1.0,0.95,0.8,-0.1499999999999999
District of Columbia,District of Columbia,7115,2441,7105.0,4181.0,32,1.0014074595355384,0.34307800421644413,0.5884588318085855,0.24538082759214136
Delaware,Kent,167,141,157.0,121.0,62,1.0636942675159236,0.844311377245509,0.7707006369426752,-0.07361074030283377
Delaware,New Castle,790,602,774.0,479.0,116,1.020671834625323,0.7620253164556962,0.6188630490956072,-0.14316226736008897
Delaware,Sussex,171,154,167.0,132.0,55,1.0239520958083832,0.9005847953216374,0.7904191616766467,-0.11016563364499066
Florida,Alachua,338,271,311.0,235.0,80,1.0868167202572347,0.8017751479289941,0.7556270096463023,-0.04614813828269182
Florida,Baker,35,31,25.0,20.0,17,1.4,0.8857142857142857,0.8,-0.08571428571428563
Florida,Bay,285,259,254.0,228.0,104,1.1220472440944882,0.9087719298245615,0.8976377952755905,-0.011134134548970942
Florida,Bradford,38,35,35.0,30.0,25,1.0857142857142856,0.9210526315789473,0.8571428571428571,-0.06390977443609025
Florida,Brevard,653,532,580.0,423.0,174,1.1258620689655172,0.8147013782542113,0.7293103448275862,-0.08539103342662513
Florida,Broward,3082,2151,2843.0,1948.0,565,1.084066127330285,0.6979234263465283,0.6851916989096025,-0.012731727436925744
Florida,Calhoun,23,22,23.0,22.0,19,1.0,0.9565217391304348,0.9565217391304348,0.0
Florida,Charlotte,84,68,84.0,72.0,35,1.0,0.8095238095238095,0.8571428571428571,0.04761904761904756
Florida,Citrus,115,104,103.0,82.0,38,1.116504854368932,0.9043478260869565,0.7961165048543689,-0.10823132123258761
Florida,Clay,144,119,134.0,122.0,43,1.0746268656716418,0.8263888888888888,0.9104477611940298,0.08405887230514097
Florida,Collier,377,274,362.0,231.0,45,1.0414364640883977,0.726790450928382,0.638121546961326,-0.08866890396705607
Florida,Columbia,118,98,100.0,79.0,47,1.18,0.8305084745762712,0.79,-0.04050847457627116
Florida,Miami-Dade,9381,5817,8933.0,4184.0,414,1.0501511250419793,0.6200831467860569,0.46837568565991267,-0.15170746112614425
Florida,De Soto,75,63,64.0,54.0,40,1.171875,0.84,0.84375,0.003750000000000031
Florida,Dixie,31,26,31.0,24.0,21,1.0,0.8387096774193549,0.7741935483870968,-0.06451612903225812
Florida,Duval,3291,2074,3018.0,1850.0,78,1.0904572564612327,0.6302035855363112,0.6129887342611001,-0.01721485127521105
Florida,Escambia,662,540,575.0,470.0,63,1.151304347826087,0.8157099697885196,0.8173913043478261,0.0016813345593065243
Florida,Flagler,52,44,47.0,37.0,30,1.1063829787234043,0.8461538461538461,0.7872340425531915,-0.05891980360065463
Florida,Franklin,23,21,20.0,18.0,16,1.15,0.9130434782608695,0.9,-0.01304347826086949
Florida,Gadsden,137,111,135.0,102.0,55,1.0148148148148148,0.8102189781021898,0.7555555555555555,-0.054663422546634255
Florida,Glades,25,17,22.0,15.0,17,1.1363636363636365,0.68,0.6818181818181818,0.0018181818181817189
Florida,Gulf,13,12,13.0,13.0,11,1.0,0.9230769230769231,1.0,0.07692307692307687
Florida,Hamilton,22,21,20.0,17.0,18,1.1,0.9545454545454546,0.85,-0.10454545454545461
Florida,Hardee,54,40,48.0,36.0,33,1.125,0.7407407407407407,0.75,0.0092592592592593
