attribute,group_set,model_a,model_b,metric,quantity,diff,diff_lo,diff_hi,significant,stratum,n_strata,n_strata_used,min_stratum_n,n_standardized,signed_as,gap_a,gap_b
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a25_mb,fpr,signed_gap,-0.04855404978834771,-0.05393763573023249,-0.042770628466910855,True,State,51,39,100,182377,Black-White,-0.09078818951497997,-0.04223413972663226
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a50_mb,selection_rate,gap,0.04203907359513981,0.03925656840036334,0.04485229949601482,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a50_mb,selection_rate,amplification,0.6361044670390591,0.5763651911863548,0.7006811804001939,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a50_mb,tpr,gap,0.041543029702501344,0.03821279041456943,0.04499573192626466,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a50_mb,tpr,amplification,0.6285986942193827,0.5648648030875781,0.7008970203447572,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a50_mb,fpr,gap,0.044469591279335086,0.03880023861114333,0.04996232584440432,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a50_mb,fpr,amplification,0.6728812802253703,0.5794491522429261,0.776981829111473,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a50_mb,selection_rate,signed_gap,-0.04203907359513981,-0.04485229949601482,-0.03925656840036334,True,State,51,39,100,182377,Black-White,-0.1029455690793667,-0.060906495484226886
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a50_mb,tpr,signed_gap,-0.041543029702501344,-0.04499573192626466,-0.03821279041456943,True,State,51,39,100,182377,Black-White,-0.08725125351451068,-0.04570822381200934
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a50_mb,fpr,signed_gap,-0.044469591279335086,-0.049962325844404326,-0.03880023861114333,True,State,51,39,100,182377,Black-White,-0.09078818951497997,-0.04631859823564488
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,selection_rate,gap,0.04594042818011013,0.04301154536299682,0.04897454977143539,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,selection_rate,amplification,0.6951369067855392,0.6325210161729058,0.7627734943019158,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,tpr,gap,0.04363164570011413,0.039965981925747046,0.04750984897530882,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,tpr,amplification,0.660202101535293,0.5960126086362462,0.7385511202448498,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,fpr,gap,0.051825135225139374,0.04591060471811871,0.057934850451064,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,fpr,amplification,0.7841799831056628,0.686583249240395,0.8890724086789695,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,selection_rate,signed_gap,-0.04594042818011013,-0.04897454977143539,-0.04301154536299682,True,State,51,39,100,182377,Black-White,-0.1029455690793667,-0.05700514089925657
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,tpr,signed_gap,-0.04363164570011413,-0.04750984897530882,-0.039965981925747046,True,State,51,39,100,182377,Black-White,-0.08725125351451068,-0.043619607814396555
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,fpr,signed_gap,-0.051825135225139374,-0.057934850451064,-0.04591060471811871,True,State,51,39,100,182377,Black-White,-0.09078818951497997,-0.03896305428984059
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a5_sstate20_mb,selection_rate,gap,0.027590029889665968,0.025460943747871806,0.029829751735926592,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a5_sstate20_mb,selection_rate,amplification,0.4174721219495825,0.37784836293034674,0.46269461282801416,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a5_sstate20_mb,tpr,gap,0.0258447728412714,0.023296108617930477,0.02841704854626755,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a5_sstate20_mb,tpr,amplification,0.39106417073479793,0.34767612506382356,0.44053595250553673,True,State,51,39,100,182377,,,
