attribute,group_set,model_a,model_b,metric,quantity,diff,diff_lo,diff_hi,significant,stratum,n_strata,n_strata_used,min_stratum_n,n_standardized,signed_as,gap_a,gap_b
Victim Race,named_n>=5000,graphsage_geo_mb,graphsage_fairloss_a25_mb,selection_rate,gap,0.08988709393458916,0.08672288770191654,0.09313697157319797,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,graphsage_fairloss_a25_mb,selection_rate,amplification,1.3601056610239397,1.262987734698342,1.4775682885628687,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,graphsage_fairloss_a25_mb,tpr,gap,0.08809861133135577,0.08398022427975764,0.09217080566384664,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,graphsage_fairloss_a25_mb,tpr,amplification,1.333043652377062,1.2276080724648852,1.4559134851272306,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,graphsage_fairloss_a25_mb,fpr,gap,0.09817378108902963,0.09229583003235133,0.10450848517126621,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,graphsage_fairloss_a25_mb,fpr,amplification,1.4854937408531819,1.3574792649963483,1.6334051814335275,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,graphsage_fairloss_a25_mb,selection_rate,signed_gap,-0.08988709393458916,-0.09313697157319797,-0.08672288770191654,True,State,51,39,100,182377,Black-White,-0.1496632355754971,-0.05977614164090794
Victim Race,named_n>=5000,graphsage_geo_mb,graphsage_fairloss_a25_mb,tpr,signed_gap,-0.08809861133135577,-0.09217080566384664,-0.08398022427975764,True,State,51,39,100,182377,Black-White,-0.13354167987818666,-0.04544306854683089
Victim Race,named_n>=5000,graphsage_geo_mb,graphsage_fairloss_a25_mb,fpr,signed_gap,-0.09817378108902963,-0.10450848517126621,-0.09229583003235133,True,State,51,39,100,182377,Black-White,-0.1404079208156619,-0.04223413972663226
Victim Race,named_n>=5000,graphsage_geo_mb,graphsage_fairloss_a50_mb,selection_rate,gap,0.08875674009127021,0.0855582233087899,0.09183400480413338,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,graphsage_fairloss_a50_mb,selection_rate,amplification,1.34300197467741,1.2469180906197137,1.4537169786562927,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,graphsage_fairloss_a50_mb,tpr,gap,0.08783345606617732,0.08398728844432886,0.09194426709391355,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,graphsage_fairloss_a50_mb,tpr,amplification,1.329031517136802,1.22281853995607,1.4516288848495715,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,graphsage_fairloss_a50_mb,fpr,gap,0.09408932258001701,0.0872516027221552,0.1004271517145859,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,graphsage_fairloss_a50_mb,fpr,amplification,1.4236907066559916,1.2899773410009123,1.5655960922811187,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,graphsage_fairloss_a50_mb,selection_rate,signed_gap,-0.08875674009127021,-0.09183400480413338,-0.0855582233087899,True,State,51,39,100,182377,Black-White,-0.1496632355754971,-0.060906495484226886
Victim Race,named_n>=5000,graphsage_geo_mb,graphsage_fairloss_a50_mb,tpr,signed_gap,-0.08783345606617732,-0.09194426709391355,-0.08398728844432886,True,State,51,39,100,182377,Black-White,-0.13354167987818666,-0.04570822381200934
Victim Race,named_n>=5000,graphsage_geo_mb,graphsage_fairloss_a50_mb,fpr,signed_gap,-0.09408932258001701,-0.1004271517145859,-0.0872516027221552,True,State,51,39,100,182377,Black-White,-0.1404079208156619,-0.04631859823564488
Victim Race,named_n>=5000,graphsage_geo_mb,graphsage_fairloss_a100_mb,selection_rate,gap,0.09265809467624053,0.08964851252785726,0.09592996721650587,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,graphsage_fairloss_a100_mb,selection_rate,amplification,1.4020344144238903,1.3029944806470397,1.5125445701347326,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,graphsage_fairloss_a100_mb,tpr,gap,0.0899220720637901,0.08583283730180694,0.09377767165406078,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,graphsage_fairloss_a100_mb,tpr,amplification,1.3606349244527123,1.246854200184929,1.4727972523038606,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,graphsage_fairloss_a100_mb,fpr,gap,0.1014448665258213,0.0951726702652678,0.10807920741046069,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,graphsage_fairloss_a100_mb,fpr,amplification,1.5349894095362842,1.4012465521106299,1.6975235637083526,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,graphsage_fairloss_a100_mb,selection_rate,signed_gap,-0.09265809467624053,-0.09592996721650587,-0.08964851252785726,True,State,51,39,100,182377,Black-White,-0.1496632355754971,-0.05700514089925657
Victim Race,named_n>=5000,graphsage_geo_mb,graphsage_fairloss_a100_mb,tpr,signed_gap,-0.0899220720637901,-0.09377767165406078,-0.08583283730180694,True,State,51,39,100,182377,Black-White,-0.13354167987818666,-0.043619607814396555
