mode,p,n_pairs,n_pairs_full,kept_frac,homophily,homophily_full,tag,blind,attribute,acc_auc,acc_mcc,acc_f1,acc_sensitivity,acc_specificity,acc_balanced_accuracy,acc_precision,acc_mcc_std,dp_gap,dp_amplification,dp_amplification_lo,dp_amplification_hi,tpr_gap,base_rate_gap
homophily,0.0,3777172,3777172,1.0,0.5760510773668766,0.5760510773668766,fair_homophily_p0,True,Victim Race,0.6967646565306908,0.26742966354084724,0.7129164937273601,0.6473784646454274,0.637898410948838,0.6426384377971327,0.7933264455120734,0.002315114329132484,0.0632586923943711,1.3300452611771298,1.1061691973915355,1.616771590753,0.033940919068997655,0.047561308055325324
homophily,0.25,3233018,3777172,0.8559361342295241,0.504695612582423,0.5760510773668766,fair_homophily_p0.25,True,Victim Race,0.6961255265031002,0.2658575140584413,0.7147526908517561,0.6516571252535107,0.6315605768347571,0.6416088510441339,0.7916000821333546,0.0004848829627845808,0.05930711795296395,1.2469614562319313,1.0253554191034209,1.5053129725305827,0.030063489756046113,0.047561308055325324
random,0.25,3233018,3777172,0.8559361342295241,0.5760738109098062,0.5760510773668766,fair_random_p0.25,True,Victim Race,0.695327267793699,0.2662159434314964,0.7169845183887823,0.6558502126494322,0.6274823183613485,0.6416662655053903,0.7908205249067392,0.0016029821511901244,0.062386258325382915,1.3117019038419335,1.0970893892905433,1.5826008419704853,0.033470220399317574,0.047561308055325324
homophily,0.5,2689080,3777172,0.7119294540995221,0.4045071176759338,0.5760510773668766,fair_homophily_p0.5,True,Victim Race,0.6963060022703994,0.26555672670048464,0.7112056086300512,0.6466254203784048,0.6355102415725177,0.6410678309754613,0.7928972472456913,0.0025301049391535744,0.052611417878459354,1.106181054088326,0.8977881998927745,1.3686177656755771,0.023769486123597527,0.047561308055325324
random,0.5,2689080,3777172,0.7119294540995221,0.575893614172877,0.5760510773668766,fair_random_p0.5,True,Victim Race,0.695416239882356,0.26578796675822214,0.7202550606148499,0.6625591524829068,0.6197483236888032,0.6411537380858549,0.789095431434816,0.0001577153586596128,0.06020934234961861,1.2659311699245226,1.045545322207085,1.536708876028913,0.03097224729393344,0.047561308055325324
homophily,0.75,2145557,3777172,0.5680326445287639,0.25365394627129456,0.5760510773668766,fair_homophily_p0.75,True,Victim Race,0.6946464101550562,0.2629084609145204,0.7324102209315003,0.689608844847209,0.5862772113529898,0.6379430281000994,0.781771928291533,0.005704497222733875,0.052220617312362494,1.097964279107237,0.9093054605602277,1.3609879127341107,0.023752029851343393,0.047561308055325324
random,0.75,2145557,3777172,0.5680326445287639,0.5759525381987055,0.5760510773668766,fair_random_p0.75,True,Victim Race,0.6961413633245442,0.26700489364755525,0.7243905950328107,0.670380544074483,0.6125838155598421,0.6414821798171625,0.7879066397902253,0.0020038726044915947,0.059964221430027886,1.260777381485702,1.0513072814789668,1.5496439662929467,0.0306447808429402,0.047561308055325324
homophily,1.0,1601328,3777172,0.4239489226331234,0.0,0.5760510773668766,fair_homophily_p1,True,Victim Race,0.6966514082012919,0.26692662760039476,0.734396514881506,0.6918251910421961,0.5883530816570222,0.6400891363496092,0.7831864070541391,0.0014368381352712425,0.0825387770741447,1.735418567086761,1.4649384877235012,2.063654783265966,0.05120789591444608,0.047561308055325324
random,1.0,1601328,3777172,0.4239489226331234,0.5759694453603509,0.5760510773668766,fair_random_p1,True,Victim Race,0.6952419912227633,0.26371591461604305,0.7160472686693847,0.6552512001643006,0.6252411132543401,0.6402461567093204,0.789758640446979,0.003998714391644241,0.05299978611715439,1.114346688184076,0.9148153035495242,1.3445406823472124,0.02368331951808178,0.047561308055325324
