model,balanced_accuracy,precision,roc_auc,pr_auc
LogisticRegression,0.624812060392824,0.783426138224697,0.6725785949572298,0.8025663705329861
XGBoost,0.6455692295291928,0.7914860070949941,0.703283478813807,0.8281674838593279
