edge_type,k,attribute,n_edges_directed,homophily,homophily_null,assortativity,neighbor_recovery,majority_baseline,recovery_lift,node_coverage
geo,20,Victim Race,7554344,0.5760510773668766,0.48683151599148966,0.17386017293670608,0.6736302305542128,0.5952733730546536,0.07835685749955923,0.9999894917142167
geo,20,Victim Sex,7554344,0.6808967132023641,0.6747220750299735,0.018982653596795997,0.794860343414388,0.7959028193730757,-0.001042475958687672,0.9999894917142167
temporal,20,Victim Race,7613040,0.4879157340563034,0.48683151599148966,0.002112791604707656,0.5781658837993758,0.5952733730546536,-0.01710748925527772,1.0
temporal,20,Victim Sex,7613040,0.6748922900707207,0.6747220750299735,0.0005232910925722898,0.7958712945157257,0.7959028193730757,-3.15248573500293e-05,1.0
weapon,20,Victim Race,7595898,1.0,0.48683151599148966,1.0,1.0,0.5952733730546536,0.40472662694534645,0.9999264419995166
weapon,20,Victim Sex,7595898,1.0,0.6747220750299735,1.0,1.0,0.7959028193730757,0.20409718062692428,0.9999264419995166
