timestamp,edge_type,tag,hidden_dim,num_layers,dropout,lr,weight_decay,aggr,max_epochs,patience,val_size,best_epoch,train_seconds,n_params,balanced_accuracy,precision,roc_auc,pr_auc,k_neighbors
2026-07-21T20:17:17,geo,,64,2,0.3,0.01,0.0005,mean,200,20,0.15,141,10.9,17729,0.6507237650941897,0.8103347639484979,0.7112158290795324,0.834410236554442,10
2026-07-21T20:18:17,geo,sweep_hidden_dim,32,2,0.3,0.01,0.0005,mean,200,20,0.15,56,3.6,6817,0.6485522699678694,0.8038087681015671,0.7067739108644663,0.8313255690405527,10
2026-07-21T20:18:33,geo,sweep_hidden_dim,128,2,0.3,0.01,0.0005,mean,200,20,0.15,74,9.6,51841,0.6485002957369183,0.8099357304151468,0.7080614217399456,0.8317263196752371,10
2026-07-21T20:19:04,geo,sweep_hidden_dim,256,2,0.3,0.01,0.0005,mean,200,20,0.15,115,24.0,169217,0.6494108227749749,0.8016139444803099,0.709009812979002,0.8326981754823986,10
2026-07-21T20:19:11,geo,sweep_num_layers,64,1,0.3,0.01,0.0005,mean,200,20,0.15,12,1.2,9473,0.6287927852118906,0.7844048458432151,0.6752464694205778,0.8003693362474222,10
2026-07-21T20:19:27,geo,sweep_num_layers,64,3,0.3,0.01,0.0005,mean,200,20,0.15,75,9.5,25985,0.6471892132025596,0.8162589663417326,0.7061217609280594,0.8309236757180807,10
2026-07-21T20:19:50,geo,sweep_num_layers,64,4,0.3,0.01,0.0005,mean,200,20,0.15,108,16.6,34241,0.6493165184541698,0.8050230889339225,0.7086104685712029,0.8323060988053763,10
2026-07-21T20:20:03,geo,sweep_dropout,64,2,0.0,0.01,0.0005,mean,200,20,0.15,79,6.5,17729,0.6491573324720268,0.8084139298041763,0.7089620216723014,0.8328536027839579,10
2026-07-21T20:20:19,geo,sweep_dropout,64,2,0.5,0.01,0.0005,mean,200,20,0.15,126,9.4,17729,0.6496554966082908,0.8120706575073602,0.7098634782799943,0.833419771918949,10
2026-07-21T20:20:33,geo,sweep_lr,64,2,0.3,0.005,0.0005,mean,200,20,0.15,104,8.0,17729,0.6517903166923571,0.806768088561864,0.711851044291834,0.834685075497134,10
2026-07-21T20:20:45,geo,sweep_lr,64,2,0.3,0.02,0.0005,mean,200,20,0.15,67,5.8,17729,0.6462476527290306,0.7918091836425826,0.703873564708915,0.8284319837387044,10
2026-07-21T20:20:55,geo,sweep_lr,64,2,0.3,0.05,0.0005,mean,200,20,0.15,30,3.3,17729,0.6310763088543649,0.801514650196684,0.6846073042346353,0.8119454265789039,10
2026-07-21T20:21:07,geo,sweep_weight_decay,64,2,0.3,0.01,0.0,mean,200,20,0.15,61,5.3,17729,0.6494396731385317,0.7976535929358171,0.7087377545387752,0.8322961785702475,10
2026-07-21T20:21:18,geo,sweep_weight_decay,64,2,0.3,0.01,0.005,mean,200,20,0.15,55,5.2,17729,0.6362035001349069,0.8004769754147231,0.6930285840867908,0.8202484006479394,10
2026-07-21T20:21:34,geo,sweep_aggr,64,2,0.3,0.01,0.0005,max,200,20,0.15,67,9.6,17729,0.6317986361346632,0.7938680536545305,0.6841163387178832,0.8102125496453734,10
2026-07-21T20:23:08,geo,sweep_k,64,2,0.3,0.01,0.0005,mean,200,20,0.15,58,3.3,17729,0.6479046149241885,0.8067115463076295,0.7064921269308188,0.8311161572351118,5
2026-07-21T20:23:23,geo,sweep_k,64,2,0.3,0.01,0.0005,mean,200,20,0.15,67,9.5,17729,0.6510950309243879,0.8072961947435298,0.7099246778644297,0.8334701007345193,20
2026-07-21T20:23:42,geo,sweep_k,64,2,0.3,0.01,0.0005,mean,200,20,0.15,61,12.6,17729,0.6508038469066136,0.8102094689567692,0.7101009096342847,0.8337545092029316,30
2026-07-21T20:24:26,geo_temporal,combo,64,2,0.3,0.01,0.0005,mean,200,20,0.15,99,12.4,17729,0.6466826860474406,0.8030615640599001,0.7060319048108206,0.830594774736813,10
2026-07-21T20:25:02,geo_temporal,combo_k20,64,2,0.3,0.01,0.0005,mean,200,20,0.15,48,12.8,17729,0.6462457073473817,0.8060181227560267,0.7047676125958778,0.8295804056426435,20
2026-07-21T20:25:31,geo,combined_best,64,2,0.3,0.005,0.0005,mean,200,20,0.15,79,11.1,17729,0.6524984554200267,0.8101304421480603,0.7118581643886683,0.8349473542170993,20
