family,timestamp,model,tag,seed,attribute,blind,group_set,params,notes,metric,value,lo,hi,std
ablation,2026-07-23T15:32:32,graphsage,default,44.0,,False,,"{""aggr"": ""mean"", ""dropout"": ""0.3"", ""edge_type"": ""geo"", ""hidden_dim"": ""64.0"", ""k_neighbors"": ""20.0"", ""lr"": ""0.005"", ""max_epochs"": ""200.0"", ""num_layers"": ""2.0"", ""patience"": ""20.0"", ""val_size"": ""0.15"", ""weight_decay"": ""0.0005""}",{},mcc,0.2866485779410613,,,
ablation,2026-07-23T15:32:04,graphsage,default,42.0,,False,,"{""aggr"": ""mean"", ""dropout"": ""0.3"", ""edge_type"": ""geo"", ""hidden_dim"": ""64.0"", ""k_neighbors"": ""20.0"", ""lr"": ""0.005"", ""max_epochs"": ""200.0"", ""num_layers"": ""2.0"", ""patience"": ""20.0"", ""val_size"": ""0.15"", ""weight_decay"": ""0.0005""}",{},n_params,17729.0,,,
ablation,2026-07-23T15:32:17,graphsage,default,43.0,,False,,"{""aggr"": ""mean"", ""dropout"": ""0.3"", ""edge_type"": ""geo"", ""hidden_dim"": ""64.0"", ""k_neighbors"": ""20.0"", ""lr"": ""0.005"", ""max_epochs"": ""200.0"", ""num_layers"": ""2.0"", ""patience"": ""20.0"", ""val_size"": ""0.15"", ""weight_decay"": ""0.0005""}",{},n_params,17729.0,,,
ablation,2026-07-23T15:32:32,graphsage,default,44.0,,False,,"{""aggr"": ""mean"", ""dropout"": ""0.3"", ""edge_type"": ""geo"", ""hidden_dim"": ""64.0"", ""k_neighbors"": ""20.0"", ""lr"": ""0.005"", ""max_epochs"": ""200.0"", ""num_layers"": ""2.0"", ""patience"": ""20.0"", ""val_size"": ""0.15"", ""weight_decay"": ""0.0005""}",{},n_params,17729.0,,,
ablation,2026-07-23T15:32:04,graphsage,default,42.0,,False,,"{""aggr"": ""mean"", ""dropout"": ""0.3"", ""edge_type"": ""geo"", ""hidden_dim"": ""64.0"", ""k_neighbors"": ""20.0"", ""lr"": ""0.005"", ""max_epochs"": ""200.0"", ""num_layers"": ""2.0"", ""patience"": ""20.0"", ""val_size"": ""0.15"", ""weight_decay"": ""0.0005""}",{},precision,0.793407764977641,,,
ablation,2026-07-23T15:32:17,graphsage,default,43.0,,False,,"{""aggr"": ""mean"", ""dropout"": ""0.3"", ""edge_type"": ""geo"", ""hidden_dim"": ""64.0"", ""k_neighbors"": ""20.0"", ""lr"": ""0.005"", ""max_epochs"": ""200.0"", ""num_layers"": ""2.0"", ""patience"": ""20.0"", ""val_size"": ""0.15"", ""weight_decay"": ""0.0005""}",{},precision,0.7924121641570713,,,
ablation,2026-07-23T15:32:32,graphsage,default,44.0,,False,,"{""aggr"": ""mean"", ""dropout"": ""0.3"", ""edge_type"": ""geo"", ""hidden_dim"": ""64.0"", ""k_neighbors"": ""20.0"", ""lr"": ""0.005"", ""max_epochs"": ""200.0"", ""num_layers"": ""2.0"", ""patience"": ""20.0"", ""val_size"": ""0.15"", ""weight_decay"": ""0.0005""}",{},precision,0.7896286035841052,,,
ablation,2026-07-23T15:32:04,graphsage,default,42.0,,False,,"{""aggr"": ""mean"", ""dropout"": ""0.3"", ""edge_type"": ""geo"", ""hidden_dim"": ""64.0"", ""k_neighbors"": ""20.0"", ""lr"": ""0.005"", ""max_epochs"": ""200.0"", ""num_layers"": ""2.0"", ""patience"": ""20.0"", ""val_size"": ""0.15"", ""weight_decay"": ""0.0005""}",{},sensitivity,0.6877775781069494,,,
ablation,2026-07-23T15:32:17,graphsage,default,43.0,,False,,"{""aggr"": ""mean"", ""dropout"": ""0.3"", ""edge_type"": ""geo"", ""hidden_dim"": ""64.0"", ""k_neighbors"": ""20.0"", ""lr"": ""0.005"", ""max_epochs"": ""200.0"", ""num_layers"": ""2.0"", ""patience"": ""20.0"", ""val_size"": ""0.15"", ""weight_decay"": ""0.0005""}",{},sensitivity,0.6890098323620774,,,
ablation,2026-07-23T15:32:32,graphsage,default,44.0,,False,,"{""aggr"": ""mean"", ""dropout"": ""0.3"", ""edge_type"": ""geo"", ""hidden_dim"": ""64.0"", ""k_neighbors"": ""20.0"", ""lr"": ""0.005"", ""max_epochs"": ""200.0"", ""num_layers"": ""2.0"", ""patience"": ""20.0"", ""val_size"": ""0.15"", ""weight_decay"": ""0.0005""}",{},sensitivity,0.7024619413138911,,,
