attribute,group_set,model_a,model_b,metric,quantity,diff,diff_lo,diff_hi,significant,stratum,n_strata,n_strata_used,min_stratum_n,n_standardized,signed_as,gap_a,gap_b
Victim Sex,named_all,graphsage_geo_blind,xgboost_blind,selection_rate,amplification,-0.24224620565869226,-0.3585913378969434,-0.13216319692457407,True,State|City,380,67,20,52368,,,
Victim Sex,named_all,graphsage_geo_blind,xgboost_blind,tpr,gap,-0.013819895871623245,-0.02347428348852288,-0.004383557181336529,True,State|City,380,67,20,52368,,,
Victim Sex,named_all,graphsage_geo_blind,xgboost_blind,tpr,amplification,-0.19897076138321834,-0.34872126624259625,-0.06401072693595158,True,State|City,380,67,20,52368,,,
Victim Sex,named_all,graphsage_geo_blind,xgboost_blind,fpr,gap,-0.0018220162777725646,-0.023747870577271228,0.02181380907624383,False,State|City,380,67,20,52368,,,
Victim Sex,named_all,graphsage_geo_blind,xgboost_blind,fpr,amplification,-0.026232322544876244,-0.3478906689843235,0.3131299160539147,False,State|City,380,67,20,52368,,,
Victim Sex,named_all,graphsage_geo_blind,xgboost_blind,selection_rate,signed_gap,-0.016825674859086703,-0.02443166131164661,-0.00906490602893412,True,State|City,380,67,20,52368,Female-Male,0.036846780118999445,0.05367245497808615
Victim Sex,named_all,graphsage_geo_blind,xgboost_blind,tpr,signed_gap,-0.013819895871623245,-0.02347428348852288,-0.004383557181336529,True,State|City,380,67,20,52368,Female-Male,0.0347846386286077,0.048604534500230945
Victim Sex,named_all,graphsage_geo_blind,xgboost_blind,fpr,signed_gap,-0.01736519362513278,-0.032366578934567215,-0.0029331550225897723,True,State|City,380,67,20,52368,Female-Male,-0.007771588673680108,0.009593604951452672
Victim Sex,named_all,graphsage_geo_blind,xgboost_blind,selection_rate,gap,-0.017516730103107392,-0.025833962027653125,-0.00972086521403447,True,State|City,380,52,30,51046,,,
Victim Sex,named_all,graphsage_geo_blind,xgboost_blind,selection_rate,amplification,-0.24745671427881089,-0.37890865469652507,-0.13501879945712655,True,State|City,380,52,30,51046,,,
