tag,alpha,beta,blind,attribute,acc_auc,acc_mcc,acc_f1,acc_sensitivity,acc_specificity,acc_balanced_accuracy,acc_precision,acc_mcc_std,dp_gap,dp_amplification,dp_amplification_lo,dp_amplification_hi,tpr_gap,base_rate_gap,best_val_gap,grad_clip
fairloss_a0,0.0,0.0,True,Victim Race,0.6964334738155911,0.2667984008115913,0.7133336016228067,0.6484481297974481,0.6360613575824378,0.642254743689943,0.7927729393774522,0.0015156379984151,0.0650083427835361,1.366832525041484,1.1422416733745628,1.6473493040258065,0.0352888718466098,0.0475613080553253,,0.0
fairloss_a10,10.0,0.0,True,Victim Race,0.6944956003967834,0.2650562450711887,0.7205186657506123,0.6635432444227659,0.6177826765867549,0.6406629605047603,0.7885503045962952,0.0027818962290103,0.010632085256417,0.2235448454035225,0.0509791314771462,0.4121784537968098,0.0174564791478883,0.0475613080553253,,0.0
fairloss_a50,50.0,0.0,True,Victim Race,0.693012024290785,0.2624488225742783,0.7245432547999879,0.6729648550817652,0.6045191512813447,0.6387420031815549,0.7852471756551788,0.0020083720832766,0.0027654568034324,0.0581450955935765,0.0041487525420876,0.2445709540793017,0.0300218763251427,0.0475613080553253,,0.0
fairloss_a200,200.0,0.0,True,Victim Race,0.6931311705457354,0.2637377031242117,0.715817124700584,0.6546179583943043,0.6260494167355563,0.6403336875649303,0.7898878162458952,0.0014368403702632,0.0090595415477138,0.1904813369971948,0.0205955419070923,0.3823153072731248,0.0358136963857524,0.0475613080553253,,0.0
fairloss_a1000,1000.0,0.0,True,Victim Race,0.6891278007768656,0.2542595849745477,0.7082782814436125,0.6433736383162615,0.6278680995682925,0.635620868942277,0.7877527205305491,0.0028634352702064,0.024830600401805,0.5220756412527819,0.3208450294297149,0.7667870278810881,0.0509858804171424,0.0475613080553253,,0.0
fairloss_a0_b1,0.0,1.0,True,Victim Race,0.6912530946217528,0.2592684668356975,0.7183176057438089,0.6612156530519687,0.6141269403876183,0.6376712967197934,0.786284527622009,0.0013867984932695,0.0434387731065526,0.913321665922704,0.7222908030552477,1.1509002804570296,0.0140777007735793,0.0475613080553253,0.0520807914455329,0.0
fairloss_a10_b1,10.0,1.0,True,Victim Race,0.6924892155881871,0.2609345443032152,0.7150861807986851,0.6541815350122797,0.6235142830899237,0.6388479090511018,0.7886549195751039,0.0054019499887983,0.0036894982676017,0.0775735239096033,0.0037291152494451,0.2503349542622541,0.0230949446369986,0.0475613080553253,0.0101891454496758,0.0
fairloss_a50_b1,50.0,1.0,True,Victim Race,0.6937259659150601,0.264535802842673,0.726410026092137,0.6758401150103972,0.6036924772664646,0.6397662961384308,0.7855766804313435,0.0001985962833704,0.0047795418147016,0.1004922280342221,0.0066025754487794,0.3059717901123373,0.0319439499324096,0.0475613080553253,0.0012179420487141,0.0
fairloss_a200_b1,200.0,1.0,True,Victim Race,0.6930589898124513,0.2634881416329369,0.7156980132737797,0.6544724839336294,0.6259391935335721,0.6402058387336008,0.7897934220102864,0.0024355560914818,0.0076186475596438,0.1601858290100322,0.0117935003968774,0.3620174489602094,0.0347355762602034,0.0475613080553253,0.0017827203746905,0.0
fairloss_a1000_b1,1000.0,1.0,True,Victim Race,0.6731305020890203,0.2328087345641887,0.6839343443647586,0.6069964658263377,0.6421420042252227,0.6245692350257802,0.7845348014598962,0.017799686914055,0.0149486906643782,0.3143036067676956,0.119273822500297,0.5203786733200307,0.042461408004948,0.0475613080553253,0.0046630692082022,0.0
