attribute,group_set,model_a,model_b,metric,quantity,diff,diff_lo,diff_hi,significant
Victim Race,named_all,graphsage_geo,logreg,selection_rate,gap,-0.13248769227145313,-0.19078068687725255,-0.0769645254752314,True
Victim Race,named_all,graphsage_geo,logreg,selection_rate,amplification,-1.8986113371781856,-3.9130058591427113,-0.732246768285239,True
Victim Race,named_all,graphsage_geo,logreg,tpr,gap,-0.08715033728006044,-0.1439158390848715,-0.0230968389038392,True
Victim Race,named_all,graphsage_geo,logreg,tpr,amplification,-1.24890558180911,-2.658656765681775,-0.2935635541826966,True
Victim Race,named_all,graphsage_geo,logreg,fpr,gap,-0.2583811052510891,-0.3810384814828936,-0.13906367754514357,True
Victim Race,named_all,graphsage_geo,logreg,fpr,amplification,-3.702723531007182,-7.266451269577122,-1.436019544135909,True
Victim Race,named_all,graphsage_geo,xgboost,selection_rate,gap,0.020909397843890176,-0.034586974615064464,0.07499273706608878,False
Victim Race,named_all,graphsage_geo,xgboost,selection_rate,amplification,0.2996415676004105,-0.5376249637570197,1.3009177535053749,False
Victim Race,named_all,graphsage_geo,xgboost,tpr,gap,0.0236882242873091,-0.03577211571241226,0.07788712850884313,False
Victim Race,named_all,graphsage_geo,xgboost,tpr,amplification,0.33946346576372033,-0.5281278388208418,1.4241513341779266,False
Victim Race,named_all,graphsage_geo,xgboost,fpr,gap,0.002317101995333748,-0.1367833468404151,0.13381480862975476,False
Victim Race,named_all,graphsage_geo,xgboost,fpr,amplification,0.03320516828631348,-2.0768853016843987,2.0336630169948138,False
Victim Race,named_all,logreg,xgboost,selection_rate,gap,0.1533970901153433,0.10154621974104695,0.20463021851616292,True
Victim Race,named_all,logreg,xgboost,selection_rate,amplification,2.198252904778596,0.9465026737514503,4.141928133764094,True
Victim Race,named_all,logreg,xgboost,tpr,gap,0.11083856156736954,0.054882818749000195,0.16383672991003276,True
Victim Race,named_all,logreg,xgboost,tpr,amplification,1.5883690475728303,0.604642322584135,3.130550303145505,True
Victim Race,named_all,logreg,xgboost,fpr,gap,0.26069820724642284,0.13924978683117822,0.38442994578951106,True
Victim Race,named_all,logreg,xgboost,fpr,amplification,3.7359286992934955,1.4603577305449542,7.211147847210531,True
Victim Race,named_n>=1000,graphsage_geo,logreg,selection_rate,gap,-0.029232364263123978,-0.0525695241646144,-0.006501322945999584,True
Victim Race,named_n>=1000,graphsage_geo,logreg,selection_rate,amplification,-0.6146249011721809,-1.1265235260438669,-0.13253007612388715,True
Victim Race,named_n>=1000,graphsage_geo,logreg,tpr,gap,-0.027943798445988766,-0.05550831709412947,7.979688911555716e-05,False
Victim Race,named_n>=1000,graphsage_geo,logreg,tpr,amplification,-0.5875321682381687,-1.1954444915519757,0.0015706416746942397,False
Victim Race,named_n>=1000,graphsage_geo,logreg,fpr,gap,-0.0345576488872435,-0.06564977829981349,-0.0027654123900693805,True
Victim Race,named_n>=1000,graphsage_geo,logreg,fpr,amplification,-0.7265916414040712,-1.4256996256113557,-0.054197907153355394,True
Victim Race,named_n>=1000,graphsage_geo,xgboost,selection_rate,gap,0.017810439880907636,-0.0032190050704753808,0.037788096429517574,False
