timestamp,model,tag,seed,auc,mcc,f1,sensitivity,specificity,balanced_accuracy,precision,edge_type,k_neighbors,hidden_dim,num_layers,dropout,lr,weight_decay,aggr,max_epochs,patience,val_size,best_epoch,train_seconds,n_params
2026-07-23T15:28:05,logreg,,42,0.6725785949572298,0.2330197094955576,0.6884561691348963,0.6140220265448104,0.6356020942408377,0.624812060392824,0.7834261382246969,,,,,,,,,,,,,,
2026-07-23T15:28:23,xgboost,,42,0.703283478813807,0.2744447765015797,0.725776406150082,0.6701409390804303,0.6209975199779554,0.6455692295291928,0.7914860070949941,,,,,,,,,,,,,,
2026-07-23T15:28:50,graphsage,,42,0.710974678862941,0.285463979420922,0.7199740010173515,0.6540446178728211,0.65048222650868,0.6522634221907506,0.8006851252396369,geo,20.0,64.0,2.0,0.3,0.005,0.0005,mean,200.0,20.0,0.15,67.0,10.7,17729.0
2026-07-23T15:29:06,graphsage,,43,0.7124806624642792,0.2855201313311918,0.739349844777834,0.6939388493825893,0.6066685037200331,0.6503036765513113,0.7911203465230626,geo,20.0,64.0,2.0,0.3,0.005,0.0005,mean,200.0,20.0,0.15,113.0,16.0,17729.0
2026-07-23T15:29:18,graphsage,,44,0.7117651680717427,0.2853069455746256,0.7306795469686875,0.6757374271558031,0.6267291264811242,0.6512332768184637,0.7953467291131591,geo,20.0,64.0,2.0,0.3,0.005,0.0005,mean,200.0,20.0,0.15,84.0,12.6,17729.0
2026-07-23T15:32:04,graphsage,default,42,0.7127979294517885,0.2873000572014268,0.7368261826182618,0.6877775781069494,0.6155414714797465,0.6516595247933479,0.793407764977641,geo,20.0,64.0,2.0,0.3,0.005,0.0005,mean,200.0,20.0,0.15,102.0,14.6,17729.0
2026-07-23T15:32:17,graphsage,default,43,0.711839424350393,0.2857931386105085,0.7371022891119564,0.6890098323620774,0.612510333425186,0.6507600828936317,0.7924121641570713,geo,20.0,64.0,2.0,0.3,0.005,0.0005,mean,200.0,20.0,0.15,89.0,12.9,17729.0
2026-07-23T15:32:32,graphsage,default,44,0.7124910217984117,0.2866485779410613,0.7434991712632122,0.7024619413138911,0.5982364287682557,0.6503491850410734,0.7896286035841052,geo,20.0,64.0,2.0,0.3,0.005,0.0005,mean,200.0,20.0,0.15,108.0,15.1,17729.0
2026-07-23T15:32:41,graphsage,sweep_hidden_dim,42,0.7094659936570513,0.2830353133288533,0.722649884812047,0.6603342489667035,0.6410581427390466,0.650696195852875,0.7979525360632852,geo,20.0,32.0,2.0,0.3,0.005,0.0005,mean,200.0,20.0,0.15,90.0,9.2,6817.0
2026-07-23T15:32:55,graphsage,sweep_hidden_dim,43,0.7104734530496677,0.2835952468029933,0.7199616095750236,0.6547634328549791,0.6476715348580876,0.6512174838565333,0.7995799109662048,geo,20.0,32.0,2.0,0.3,0.005,0.0005,mean,200.0,20.0,0.15,139.0,13.3,6817.0
2026-07-23T15:33:04,graphsage,sweep_hidden_dim,44,0.7092939999895443,0.283791352073666,0.7454388193637322,0.708007085461967,0.5887572333976302,0.6483821594297986,0.7870494563511317,geo,20.0,32.0,2.0,0.3,0.005,0.0005,mean,200.0,20.0,0.15,88.0,9.0,6817.0
2026-07-23T15:33:20,graphsage,sweep_hidden_dim,42,0.7112671786661215,0.2816815054794754,0.6965805715622898,0.6113521423253665,0.6909892532378066,0.6511706977815865,0.809421841541756,geo,20.0,128.0,2.0,0.3,0.005,0.0005,mean,200.0,20.0,0.15,74.0,16.1,51841.0
2026-07-23T15:33:36,graphsage,sweep_hidden_dim,43,0.7088652803188491,0.2822829151076573,0.7189693896289181,0.6533258028906631,0.6477817580600717,0.6505537804753674,0.7992776381909548,geo,20.0,128.0,2.0,0.3,0.005,0.0005,mean,200.0,20.0,0.15,71.0,15.4,51841.0
2026-07-23T15:33:54,graphsage,sweep_hidden_dim,44,0.7119808882594216,0.2817209734970867,0.6945601783932868,0.6077067234872795,0.6947368421052632,0.6512217827962714,0.8103796515011468,geo,20.0,128.0,2.0,0.3,0.005,0.0005,mean,200.0,20.0,0.15,88.0,18.2,51841.0
2026-07-23T15:35:23,graphsage,sweep_hidden_dim,42,0.7085570236317251,0.2820958693692359,0.7395432593926495,0.6958385746925783,0.6007715624138881,0.6483050685532332,0.7891059419488193,geo,20.0,256.0,2.0,0.3,0.005,0.0005,mean,200.0,20.0,0.15,75.0,88.4,169217.0
2026-07-23T15:35:48,graphsage,sweep_hidden_dim,43,0.6471835588623711,0.2081573186268115,0.7393528183716075,0.7273380740892871,0.4844309727197575,0.6058845234045223,0.751771167776687,geo,20.0,256.0,2.0,0.3,0.005,0.0005,mean,200.0,20.0,0.15,7.0,24.7,169217.0
2026-07-23T15:37:33,graphsage,sweep_hidden_dim,44,0.7096179385749918,0.2839116030074797,0.725961336855789,0.6666495520242344,0.6351612014329017,0.650905376728568,0.7968577390450472,geo,20.0,256.0,2.0,0.3,0.005,0.0005,mean,200.0,20.0,0.15,94.0,104.6,169217.0
2026-07-23T15:37:35,graphsage,sweep_num_layers,42,0.6792852168389943,0.2469622215185808,0.7047554367050101,0.6393602546658794,0.6241939928354918,0.6317771237506856,0.7850523263144621,geo,20.0,64.0,1.0,0.3,0.005,0.0005,mean,200.0,20.0,0.15,19.0,2.0,9473.0
2026-07-23T15:37:39,graphsage,sweep_num_layers,43,0.6838744577452034,0.2466441551437154,0.6885107987758003,0.6092983852334866,0.6552218241939929,0.6322601047137397,0.7913971323774592,geo,20.0,64.0,1.0,0.3,0.005,0.0005,mean,200.0,20.0,0.15,65.0,4.5,9473.0
2026-07-23T15:37:41,graphsage,sweep_num_layers,44,0.6793623699677724,0.2469260285185285,0.708987421825592,0.6475496110697507,0.6154312482777625,0.6314904296737567,0.7833053847587107,geo,20.0,64.0,1.0,0.3,0.005,0.0005,mean,200.0,20.0,0.15,19.0,2.0,9473.0
2026-07-23T15:37:59,graphsage,sweep_num_layers,42,0.7118927964264854,0.2826117090916066,0.6952964635505249,0.608707930069571,0.6946817305042712,0.6516948302869211,0.8106047656490376,geo,20.0,64.0,3.0,0.3,0.005,0.0005,mean,200.0,20.0,0.15,84.0,17.6,25985.0
2026-07-23T15:38:13,graphsage,sweep_num_layers,43,0.7096888884122508,0.2826053836966016,0.7299993063744191,0.6754550355556697,0.6240837696335079,0.6497694025945888,0.7941265242062056,geo,20.0,64.0,3.0,0.3,0.005,0.0005,mean,200.0,20.0,0.15,63.0,14.0,25985.0
2026-07-23T15:38:33,graphsage,sweep_num_layers,44,0.7122386407167092,0.2869449028738801,0.7331340970723338,0.6801530049033451,0.6236428768255717,0.6518979408644584,0.7950664706058878,geo,20.0,64.0,3.0,0.3,0.005,0.0005,mean,200.0,20.0,0.15,98.0,20.0,25985.0
2026-07-23T15:39:03,graphsage,sweep_num_layers,42,0.7128945066857709,0.287274244023652,0.7376414368889377,0.6895232716350473,0.6135574538440342,0.6515403627395407,0.7929792447816717,geo,20.0,64.0,4.0,0.3,0.005,0.0005,mean,200.0,20.0,0.15,110.0,29.7,34241.0
2026-07-23T15:39:28,graphsage,sweep_num_layers,43,0.7109994120915176,0.2825597739323647,0.7074483393771945,0.6310425384437656,0.6716450812896114,0.6513438098666885,0.8049052031828154,geo,20.0,64.0,4.0,0.3,0.005,0.0005,mean,200.0,20.0,0.15,88.0,24.6,34241.0
2026-07-23T15:39:51,graphsage,sweep_num_layers,44,0.7107744693800007,0.2854981772261657,0.7344349121403547,0.68349036017765,0.6183521631303389,0.6509212616539944,0.7935855018033323,geo,20.0,64.0,4.0,0.3,0.005,0.0005,mean,200.0,20.0,0.15,81.0,22.8,34241.0
2026-07-23T15:40:01,graphsage,sweep_dropout,42,0.7105677000701406,0.2824568324309379,0.7164115585944704,0.6482427540882603,0.6534031413612565,0.6508229477247585,0.8006024096385541,geo,20.0,64.0,2.0,0.0,0.005,0.0005,mean,200.0,20.0,0.15,68.0,9.7,17729.0
2026-07-23T15:40:16,graphsage,sweep_dropout,43,0.7125261568058112,0.2828086559568666,0.7037707172323949,0.6240854362950222,0.6791402590245247,0.6516128476597735,0.8067834859949556,geo,20.0,64.0,2.0,0.0,0.005,0.0005,mean,200.0,20.0,0.15,116.0,15.4,17729.0
2026-07-23T15:40:28,graphsage,sweep_dropout,44,0.7116484840804502,0.283671606921655,0.709291139604003,0.634097502117937,0.6696610636538991,0.6518792828859181,0.8047175343715384,geo,20.0,64.0,2.0,0.0,0.005,0.0005,mean,200.0,20.0,0.15,80.0,11.6,17729.0
2026-07-23T15:40:39,graphsage,sweep_dropout,42,0.7104770849003531,0.285006206913337,0.7232775092727886,0.6607963443123764,0.6427114907688068,0.6517539175405916,0.7988083046271296,geo,20.0,64.0,2.0,0.5,0.005,0.0005,mean,200.0,20.0,0.15,76.0,11.2,17729.0
2026-07-23T15:40:52,graphsage,sweep_dropout,43,0.7100755170981821,0.2842755316932807,0.7343230911321561,0.6837727517777835,0.6166988151005787,0.6502357834391811,0.7929443286692467,geo,20.0,64.0,2.0,0.5,0.005,0.0005,mean,200.0,20.0,0.15,85.0,12.3,17729.0
2026-07-23T15:41:05,graphsage,sweep_dropout,44,0.7109693584209845,0.2858869627794486,0.7132795199657118,0.6408492285574924,0.6649765775695784,0.6529129030635354,0.8041685458411184,geo,20.0,64.0,2.0,0.5,0.005,0.0005,mean,200.0,20.0,0.15,89.0,12.8,17729.0
2026-07-23T15:41:25,graphsage,sweep_lr,42,0.7109146224555035,0.2841168201118974,0.7241471177980005,0.6629014453315534,0.6394599063102783,0.6511806758209158,0.7978618217772834,geo,20.0,64.0,2.0,0.3,0.001,0.0005,mean,200.0,20.0,0.15,149.0,19.8,17729.0
2026-07-23T15:41:48,graphsage,sweep_lr,43,0.7101368468463352,0.2851024298734892,0.7229633794897027,0.6601288732575155,0.643538164783687,0.6518335190206013,0.7990180846435896,geo,20.0,64.0,2.0,0.3,0.001,0.0005,mean,200.0,20.0,0.15,175.0,22.9,17729.0
2026-07-23T15:42:08,graphsage,sweep_lr,44,0.7106290552851078,0.2838034865958624,0.7235218996028461,0.6617718789310194,0.6403416919261504,0.6510567854285849,0.7979816740960873,geo,20.0,64.0,2.0,0.3,0.001,0.0005,mean,200.0,20.0,0.15,152.0,20.3,17729.0
2026-07-23T15:42:23,graphsage,sweep_lr,42,0.712121193428399,0.2862236334495356,0.7252214373808723,0.6642107154776269,0.6403416919261504,0.6522762037018887,0.7985740300626563,geo,20.0,64.0,2.0,0.3,0.002,0.0005,mean,200.0,20.0,0.15,109.0,15.2,17729.0
2026-07-23T15:42:38,graphsage,sweep_lr,43,0.7098188391989761,0.2852953135602152,0.724039689556931,0.662208302313044,0.6414990355469826,0.6518536689300133,0.7986068111455109,geo,20.0,64.0,2.0,0.3,0.002,0.0005,mean,200.0,20.0,0.15,101.0,14.3,17729.0
2026-07-23T15:42:55,graphsage,sweep_lr,44,0.7117985295984901,0.2848983301005611,0.7227424843218313,0.6597694657664365,0.643703499586663,0.6517364826765497,0.7990051297994715,geo,20.0,64.0,2.0,0.3,0.002,0.0005,mean,200.0,20.0,0.15,130.0,17.8,17729.0
2026-07-23T15:43:04,graphsage,sweep_lr,42,0.7080807552964766,0.2805910556853496,0.7444399405485745,0.7072112545888635,0.5861669881510058,0.6466891213699346,0.785805973129475,geo,20.0,64.0,2.0,0.3,0.01,0.0005,mean,200.0,20.0,0.15,51.0,8.4,17729.0
