edge_type,k,edge_mode,profile,n_pairs,n_pairs_eligible,eligible_frac,n_profiles,profile_match,null_global,null_within_block,block_lift,edge_lift
temporal,20,rank_ordinal_control,perp_sex_race_age,2481059,1009706,0.40696573519614004,187,0.062251784182722494,0.060318699679108224,0.061627481684781237,0.001308782005673012,0.0006243024979412579
temporal,20,rank_ordinal_control,perp_sex_race,2481059,1119758,0.4513226005508132,15,0.4126105819293097,0.41092236148473893,0.41210431170143863,0.001181950216699701,0.0005062702278710862
temporal,20,rank_ordinal_control,relationship,2481059,745246,0.30037415474601775,28,0.21838292322266742,0.20618144690811022,0.2095140047395424,0.003332557831432187,0.008868918483125016
